defect_id,model,run,source,coder1,coder2,agree,final_after_adjudication,group,group_lastentry_rule,note,n_cases,n_valid,n_invalid,n_flaky,suite_reached_any,suite_reached_lastentry,suite_lines_any,suite_lines_lastentry,recorded_lines,reproduces_recorded,n_multi_entry_lines,n_valid_reaching,n_invalid_reaching,n_valid_reaching_lastentry,valid_reaching,invalid_reaching
CLIUtils___CLI11@020a21afc6,deepseek-chat,2,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,16,2,14,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@020a21afc6,deepseek-chat,3,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,17,12,5,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,1,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,14,13,1,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,2,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,10,1,9,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@020a21afc6,gemini-2.5-flash,3,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,12,1,11,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@dcbcb4721d,deepseek-chat,1,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,8,1,7,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@dcbcb4721d,deepseek-chat,2,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,7,5,2,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@dcbcb4721d,gemini-2.5-flash,2,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,7,4,3,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,1,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,6,3,3,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@dcbcb4721d,gpt-5.4-or,2,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,6,2,4,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@dcbcb4721d,qwen3-coder,1,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,5,3,2,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@de215ef978,deepseek-chat,1,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,11,2,9,0,False,False,,,,True,0,0,0,0,,
CLIUtils___CLI11@de215ef978,deepseek-chat,2,not_reached,,,,,D,D,whole-suite run did not reproduce the recorded reach,15,8,7,0,False,False,,,,True,0,0,0,0,,
